ID,RecordDOI,RecordURL,Title,PublicationDate,Authors,ARCURL
ez8vf-kax43,https://doi.org/10.60534/ez8vf-kax43,https://archive.nfdi4plants.org/records/ez8vf-kax43,PHOTOPERIOD 1 enhances stress tolerance and energy metabolism to promote spike fertility in barley under high ambient temperatures,2025-02-28,"Lan, Tianyu, Walla, Agatha, Çolpan Karışan, Kumsal Ecem, Buchmann, Gabriele, Wewer, Vera, Metzger, Sabine, Vardanega, Isaia, Haraldsson, Einar Baldvin, Helmsorig, Gesa, Thirulogachandar, Venkatasubbu, Simon, Rüdiger, von Korff, Maria",https://git.nfdi4plants.org/projects/1590
508hd-vb321,https://doi.org/10.60534/508hd-vb321,https://archive.nfdi4plants.org/records/508hd-vb321,A full genome assembly reveals drought stress effects on gene expression and metabolite profiles in blackcurrant (Ribes nigrum L.),2025-03-05,"Ziegler, Freya, Rosenthal, Vivien, Vallarino, José G., Genzel, Franziska, Spettmann, Sarah, Seliga, Łukasz, Keller-Przybyłkowicz, Sylwia, Munnes, Lucas, Sønsteby, Anita, Osorio, Sonia, Usadel, Björn",https://git.nfdi4plants.org/projects/1488
63p5d-ka779,https://doi.org/10.60534/63p5d-ka779,https://archive.nfdi4plants.org/records/63p5d-ka779,Identification and characterization of DICER-LIKE genes and their roles in Marchantia polymorpha,2025-02-24,"Erika, Csicsely, Top, Oguz, Frank, Wolfgang",https://git.nfdi4plants.org/projects/969
46qra-6bw98,https://doi.org/10.60534/46qra-6bw98,https://archive.nfdi4plants.org/records/46qra-6bw98,Identification of nuclear pore proteins at plasmodesmata,2024-12-02,"Schladt, Till Moritz, Miras, Manuel, Ejike, Jona Obinna, Pottier, Mathieu, Xi, Lin, Restrepo, Andrea, Nakamura, Masayoshi, Pütz, Niklas, Hänsch, Sebastian, Gao, Chen, Engelhorn, Julia, Dickmanns, Marcel, Davis, Gwendolyn, Dalal, Ahan, Gombos, Sven, Lange, Ronja, Simon, Rüdiger, Schulze, Waltraud, Frommer, Wolf B.",https://git.nfdi4plants.org/projects/2188
ecjy4-re035,https://doi.org/10.60534/ecjy4-re035,https://archive.nfdi4plants.org/records/ecjy4-re035,Multiomics characterization of the canal-1 tomato mutant,2024-10-25,"Wijesingha Ahchige, Micha, Fisher, Josef, Sokolowska, Ewelina, Lyall, Rafe, Illing, Nicola, Skirycz, Aleksandra, Zamir, Dani, Alseekh, Saleh, Fernie, Alisdair",https://git.nfdi4plants.org/projects/487
30cpm-z1c67,https://doi.org/10.60534/30cpm-z1c67,https://archive.nfdi4plants.org/records/30cpm-z1c67,In depth exploration of the genomic and metabolic diversity in tea varieties based on a newly constructed pan-genome of Camellia sinensis,2024-05-27,"Tariq, Arslan, Meng, Minghui, Jiang, Xiaohui, Bolger, Anthony, Beier, Sebastian, Buchmann, Jan, Fernie, Alisdair, Wen, Weiwei, Usadel, Björn",https://git.nfdi4plants.org/projects/1455
14ta1-me322,https://doi.org/10.60534/14ta1-me322,https://archive.nfdi4plants.org/records/14ta1-me322,Insight into the nodal cells transcriptome of the streptophyte green alga Chara braunii S276,2024-05-17,"Hess, Wolfgang, Heß, Daniel, Holzhausen, Anja",https://git.nfdi4plants.org/projects/1399
y2eyy-bg094,https://doi.org/10.60534/y2eyy-bg094,https://archive.nfdi4plants.org/records/y2eyy-bg094,Evolutionary conserved and divergent responses to copper zinc superoxide dismutase inhibition in plants.,2024-01-22,"Frohn, Stephanie, Schippers, Jos",https://git.nfdi4plants.org/projects/720
ba7e0-h6c66,https://doi.org/10.60534/ba7e0-h6c66,https://archive.nfdi4plants.org/records/ba7e0-h6c66,"Co-action of COP1, SPA and cryptochrome in light signal transduction and photomorphogenesis of the moss Physcomitrium patens",2023-11-02,"Kreiss, Melanie, Haas, Fabian, Hansen, Maike, Rensing, Stefan, Hoecker, Ute",https://git.nfdi4plants.org/projects/719
9e5jx-75d83,https://doi.org/10.60534/9e5jx-75d83,https://archive.nfdi4plants.org/records/9e5jx-75d83,Systems-wide investigation of responses to moderate and acute high temperatures in the green alga Chlamydomonas reinhardtii.,2023-09-07,"Zhang, Ningning, Mattoon, Erin, McHargue, Will, Venn, Benedikt, Zimmer, David, Pecani, Kresti, Jeong, Jooyeon, Anderson, Cheyenne, Chen, Chen, Berry, Jeffrey, Xia, Ming, Tzeng, Shin-Cheng, Becker, Eric, Pazouki, Leila, Evans, Bradley, Cross, Fred, Cheng, Jianlin, Czymmek, Kirk, Schroda, Michael, Mühlhaus, Timo, Zhang, Ru",https://git.nfdi4plants.org/projects/122
